State/Union Territory,2017–18,2018–19,2019–20,2020–21,2021–22,2022–23,2023-24
,,,,,,,(Estimated)
Andhra Pradesh?,"78,61,350","87,37,210","92,58,390","95,67,880","1,13,38,370","1,31,77,280","1,44,90,000"
Arunachal Pradesh?,"2,24,750","2,53,350","3,00,240","3,05,480","3,51,240",NA,"3,70,000"
Assam?,"28,31,650","30,93,360","34,68,510","35,36,050","41,26,120","49,31,670","56,70,000"
Bihar?,"46,87,460","52,79,760","58,18,550","56,72,630","65,03,020","75,13,960","85,90,000"
Chhattisgarh?,"28,27,370","32,71,070","34,46,480","34,77,520","40,64,160","45,76,080","50,70,000"
Goa?,"6,93,520","7,18,530","7,50,320","7,57,050","8,26,040",NA,"10,00,000"
Gujarat,"1,32,90,950","1,49,21,560","1,61,71,430","1,61,61,060","1,93,70,660",NA,"2,56,20,000"
Haryana?,"63,88,320","69,89,400","73,21,950","74,18,500","87,06,650","99,41,540","1,12,00,000"
Himachal Pradesh?,"13,85,510","14,83,830","15,91,640","15,52,510","17,62,690","19,54,050","21,40,000"
Jammu and Kashmir (state)?,"13,97,090","15,98,590",NA,NA,NA,NA,"23,00,000"
Jharkhand,"26,98,160","30,56,950","31,03,050","29,66,640","35,88,630","39,37,220","42,30,000"
Karnataka,"1,33,32,400","1,47,93,910","1,61,11,340","1,62,50,730","1,96,27,250","2,24,13,680","2,50,00,000"
Kerala,"70,15,880","78,82,860","81,29,350","77,17,240","93,24,700",NA,"1,13,00,000"
Madhya Pradesh,"72,62,840","82,98,050","92,78,550","96,16,430","1,13,61,370","1,32,28,210","1,38,70,000"
Maharashtra,"2,35,27,820","2,52,88,540","2,65,73,710","2,62,75,420","3,10,80,220",NA,"3,87,90,000"
Manipur,"2,57,890","2,73,880","2,98,130","2,97,760","3,65,940",NA,"4,50,000"
Meghalaya,"2,95,080","3,21,760","3,47,700","3,37,760","3,87,850","4,26,970","4,60,000"
Mizoram,"1,93,850","2,19,120","2,49,900","2,39,230","2,78,240",NA,"3,50,000"
Nagaland,"2,43,930","2,65,270","2,97,160","2,98,320","3,19,130",NA,"3,70,000"
Odisha,"44,03,950","49,86,110","53,75,020","54,01,500","67,08,810","77,48,690","86,50,000"
Punjab,"47,10,140","52,15,100","53,70,310","54,08,530","61,42,270","67,31,070","69,80,000"
Rajasthan,"83,25,290","91,15,190","99,86,790","1,01,94,420","1,21,81,930","1,41,36,200","1,57,00,000"
Sikkim,"2,59,710","2,84,020","3,14,410","3,30,180","3,75,570","4,27,560","4,20,000"
Tamil Nadu,"1,46,50,510","1,63,02,090","1,74,31,440","1,78,80,740","2,07,12,860","2,36,45,140","2,83,00,000"
Telangana,"75,00,500","85,74,270","95,00,900","94,28,140","1,12,89,070","1,31,33,910","1,40,00,000"
Tripura,"4,37,160","4,98,230","5,41,510","5,35,040","6,25,500","7,26,360","2,60,000"
